amount,client_time,category,device
61,1393632162,Fashion,iOS
31,1393632200,Sports,android
39,1393632211,Technology,android
36,1393632244,Technology,iOS
40,1393632395,Sports,android
59,1393632785,Games,iOS
58,1393632793,Fashion,android
56,1393632814,Fashion,iOS
33,1393633038,Technology,android
44,1393633066,Games,iOS
53,1393633118,Sports,android
48,1393633458,Sports,iOS
53,1393633644,Fashion,iOS
50,1393633683,Technology,iOS
31,1393633761,Fashion,iOS
27,1393633861,Sports,android
27,1393633904,Technology,android
36,1393633922,Games,iOS
39,1393633945,Fashion,iOS
13,1393634053,Technology,iOS
57,1393634143,Games,iOS
72,1393634191,Games,iOS
36,1393634344,Games,iOS
31,1393634537,Sports,iOS
27,1393634607,Environment,iOS
59,1393634683,Fashion,iOS
39,1393634945,Sports,android
50,1393635080,Environment,android
53,1393635425,Technology,iOS
48,1393635458,Technology,iOS
46,1393635519,Technology,iOS
14,1393635566,Fashion,iOS
14,1393635722,Games,iOS
46,1393635765,Fashion,iOS
41,1393635918,Technology,android
46,1393636113,Sports,iOS
24,1393636231,Technology,android
39,1393636614,Environment,iOS
35,1393636625,Sports,android
36,1393636960,Technology,android
43,1393636989,Technology,iOS
16,1393637015,Games,iOS
29,1393637029,Fashion,iOS
51,1393637041,Environment,android
49,1393637101,Environment,iOS
34,1393637138,Games,android
35,1393637353,Technology,android
22,1393637376,Sports,iOS
31,1393637435,Games,android
19,1393637704,Technology,iOS
19,1393637783,Games,iOS
55,1393638289,Environment,iOS
18,1393638497,Technology,android
43,1393638703,Environment,iOS
43,1393638817,Environment,iOS
14,1393639225,Games,android
49,1393639239,Fashion,iOS
21,1393639363,Technology,iOS
27,1393639750,Games,iOS
40,1393640031,Games,iOS
38,1393640037,Games,iOS
24,1393640091,Games,iOS
33,1393640095,Environment,iOS
25,1393640322,Games,iOS
21,1393640526,Technology,iOS
4,1393640594,Technology,iOS
33,1393640719,Games,android
30,1393640835,Technology,iOS
34,1393640837,Sports,iOS
42,1393640894,Technology,iOS
27,1393641485,Fashion,iOS
52,1393641579,Sports,iOS
16,1393641965,Fashion,android
56,1393642237,Technology,android
54,1393642311,Sports,iOS
39,1393642484,Technology,iOS
38,1393642723,Games,iOS
30,1393642741,Technology,android
37,1393642865,Technology,iOS
40,1393643419,Technology,iOS
22,1393643520,Environment,android
77,1393643615,Fashion,iOS
48,1393643630,Games,iOS
43,1393643638,Sports,android
35,1393643872,Games,iOS
1,1393644005,Environment,iOS
9,1393644057,Sports,iOS
38,1393644364,Environment,iOS
37,1393644762,Fashion,iOS
37,1393644779,Environment,iOS
53,1393644837,Technology,iOS
22,1393645042,Fashion,iOS
44,1393645112,Sports,iOS
58,1393645242,Technology,android
30,1393645389,Sports,iOS
39,1393645495,Technology,iOS
60,1393645508,Technology,android
28,1393645563,Games,iOS
38,1393645684,Sports,iOS
44,1393645805,Technology,android
34,1393646193,Environment,iOS
70,1393646251,Games,iOS
55,1393646267,Technology,android
68,1393646334,Environment,iOS
30,1393646459,Games,iOS
47,1393646484,Sports,iOS
34,1393646489,Environment,iOS
46,1393646598,Fashion,iOS
15,1393646863,Games,iOS
22,1393647112,Games,iOS
30,1393647151,Games,iOS
42,1393647272,Sports,iOS
33,1393647415,Technology,iOS
41,1393647737,Fashion,android
61,1393647739,Sports,android
57,1393647831,Sports,iOS
33,1393647840,Games,iOS
41,1393648277,Technology,android
41,1393648425,Games,android
29,1393648488,Environment,iOS
41,1393648531,Environment,android
32,1393648534,Sports,iOS
11,1393648590,Technology,iOS
43,1393648606,Environment,iOS
43,1393649028,Games,iOS
29,1393649045,Sports,iOS
29,1393649125,Games,iOS
26,1393649138,Environment,android
37,1393649283,Environment,android
41,1393649377,Games,iOS
47,1393649749,Technology,iOS
55,1393649909,Sports,iOS
69,1393649972,Technology,android
33,1393650073,Fashion,iOS
44,1393650397,Games,iOS
34,1393650610,Technology,iOS
34,1393650614,Technology,android
30,1393650643,Technology,android
44,1393650747,Fashion,android
18,1393650748,Games,iOS
41,1393650893,Technology,iOS
23,1393651328,Technology,android
40,1393651344,Fashion,android
29,1393651380,Sports,iOS
37,1393651731,Sports,android
41,1393651769,Sports,iOS
47,1393652006,Environment,iOS
34,1393652534,Fashion,iOS
28,1393652785,Technology,iOS
40,1393652920,Fashion,iOS
51,1393652924,Technology,iOS
40,1393653262,Games,iOS
18,1393653511,Fashion,iOS
56,1393653725,Games,iOS
33,1393654049,Environment,iOS
55,1393654100,Games,android
54,1393654161,Fashion,android
49,1393654215,Environment,iOS
50,1393654260,Technology,android
38,1393654443,Games,iOS
25,1393654499,Games,iOS
64,1393654594,Technology,android
19,1393654631,Fashion,android
30,1393654721,Technology,iOS
46,1393654916,Technology,iOS
3,1393655044,Sports,android
39,1393655325,Sports,iOS
29,1393655360,Sports,android
46,1393655407,Environment,iOS
19,1393655427,Sports,iOS
32,1393655469,Fashion,iOS
15,1393655583,Fashion,iOS
44,1393655681,Technology,iOS
32,1393655701,Fashion,iOS
17,1393655810,Games,iOS
34,1393655823,Environment,android
39,1393655969,Fashion,iOS
48,1393656060,Sports,android
36,1393656152,Games,iOS
56,1393656348,Environment,iOS
52,1393656404,Games,iOS
37,1393656446,Games,iOS
45,1393656668,Sports,iOS
20,1393656703,Environment,iOS
20,1393656898,Sports,android
28,1393656970,Technology,iOS
61,1393657095,Games,iOS
44,1393657332,Environment,android
33,1393657384,Games,android
53,1393657484,Games,iOS
47,1393657586,Technology,android
40,1393657665,Sports,iOS
49,1393657990,Games,android
37,1393658305,Environment,iOS
45,1393658344,Games,iOS
32,1393658363,Sports,iOS
65,1393658375,Environment,iOS
48,1393658479,Environment,iOS
28,1393658700,Games,iOS
41,1393658937,Environment,iOS
32,1393659000,Environment,iOS
30,1393659018,Technology,iOS
34,1393659134,Technology,iOS
33,1393659327,Sports,iOS
22,1393659378,Sports,iOS
38,1393659902,Fashion,android
44,1393659931,Environment,iOS
20,1393659994,Technology,android
54,1393660464,Fashion,iOS
41,1393660600,Fashion,android
29,1393660627,Fashion,android
44,1393660652,Environment,iOS
38,1393660766,Sports,iOS
30,1393660975,Sports,android
57,1393661127,Environment,iOS
63,1393661227,Fashion,iOS
50,1393661282,Sports,iOS
42,1393661501,Fashion,iOS
30,1393661698,Fashion,android
58,1393661792,Environment,iOS
58,1393661857,Environment,iOS
70,1393661932,Environment,iOS
